Model,Recall,Precision,F1,ROC_AUC
Logistic Regression,0.7710843373493976,0.8767123287671232,0.8205128205128205,0.8362863217576187
Random Forest,0.8072289156626506,0.7613636363636364,0.783625730994152,0.7680722891566264
XGBoost,0.8795180722891566,0.7525773195876289,0.8111111111111111,0.7388377037562013
